task,date,start_time,end_time,id,duration,notes,tags,calibration_success,calibration_time,calibration_params,whisper_start,whisper_end,calib_time,reading,medium,material,mode,age,split,device
1,09-12,1726157997,1726158250,1047685630067977,252.493867713,Intro on poetry composition and early life of poe,"[('What type of reading material did you read? ', ['Book'])]",True,249591025,"[0.98654924776071, 0.99601522286117, 1.0167784725872, 0.034359881413289, 0.075914802829783, 0.04092051936353]",115.249,251.6,96.086025,True,Print,Book,Read out loud,31-35,train,
1,09-12,1726172119,1726172367,1433290830689561,247.7805842750004,UW programs ,"[('What type of reading material did you read? ', ['Brochure'])]",True,12267735721,"[0.99156266336101, 1.0065451402621, 0.95305060767697, 0.064339287558869, -0.012163521236324, 0.0046035750368176]",71.011,246.665,60.33472099999926,True,Print,Brochure,Read out loud,31-35,train,
1,09-13,1726243808,1726244108,1079379000364632,299.6500591000004,About Lizzy and discussions on visits ,"[('What type of reading material did you read? ', ['Book'])]",True,19059757882,"[0.98063422440829, 0.99636722382658, 1.0515119005827, -0.0020748399003472, 0.027785818994147, 0.067155128139569]",79.477,297.535,71.16688200000135,True,Print,Book,Read out loud,46-50,train,
1,09-13,1726259051,1726259350,887839846015137,298.4342472249991,Reading material was about providing a space at the Redmond library for aging adults to have a creative space to talk about aging. ,"[('What type of reading material did you read? ', ['Flier'])]",True,28130418358,"[0.99588945954655, 0.98335223449761, 1.0032215448191, -0.0057578424346051, 0.063548655573778, -0.020107120841612]",67.384,296.11,62.03535799999736,True,Print,Flier,Read out loud,25-30,train,
1,09-16,1726503914,1726504417,1313064880064795,502.010763075,Friends trouble trying to know more about each other and how they appear to public in terms of dressings ,"[('What type of reading material did you read? ', ['Book'])]",True,1066848398,"[0.99687961394455, 0.99584086058569, 1.0003012277688, 0.00973789280198, 0.02848242630424, -0.027587551388493]",378.035,500.505,364.4113980000001,True,Print,Book,Read out loud,31-35,train,
1,09-16,1726516644,1726516890,1200012674537476,245.633429011,I read a table of contents and a paragraph about a teacher's feelings on closing schools. ,"[('What type of reading material did you read? ', ['Magazine'])]",True,351174877,"[0.99554832707603, 0.97192784815465, 0.99851997395109, 0.064476607437998, -0.01988476707433, 0.022735053323024]",71.716,242.361,62.73687699999999,True,Print,Magazine,Read out loud,31-35,train,
1,09-16,1726523839,1726524088,1451025635579411,248.581680325,Redmomd is offering a free pickup of Styrofoam and plastic film,"[('What type of reading material did you read? ', ['Flier'])]",False,1265278798,"[1.0353449261439, 1.069765636591, 1.0069808385092, -0.075411512351524, 0.1687541066907, 0.0023610395881021]",109.464,246.594,98.85579800000004,True,Print,Flier,Read out loud,46-50,train,
1,09-17,1726590425,1726590674,1637119036856954,248.3999404,Read about a quick review about the book  Don quixiote,"[('What type of reading material did you read? ', ['Book'])]",False,605801507,"[0.97318322957096, 0.96728247567183, 0.93330424732863, -0.1073332413719, 0.092315333304815, -0.016028243510161]",94.166,246.769,74.19450700000004,True,Print,Book,Read out loud,46-50,train,
1,09-17,1726610462,1726610708,1040423710948640,244.9608177000009,I just read some of the table of contents and one page of the prologue. I think the author was trying to talk to me directly about his son,"[('What type of reading material did you read? ', ['Book'])]",True,9650177970,"[0.94461009182339, 0.9821345408683, 1.0446617519708, -0.082991953228099, 0.065566013217958, -0.0064437982104218]",74.682,242.821,65.74496999999974,True,Print,Book,Read out loud,25-30,train,
1,09-18,1726676764,1726677007,542731778172448,242.508873275,This reading material was about Washington football's first quarter struggles and the statistical differences between their performances in the final 3 quarters of the first 2 games of their season.,"[('What type of reading material did you read? ', ['Newspaper'])]",False,149985397,[],63.894,225.277,54.56639700000001,True,Print,Newspaper,Read out loud,25-30,train,
